Simple site,Unnamed: 0,Avg. Flood Depth when Flooded (ft),90th Percentile Flood Depth when Flooded (ft),10th Percentile Flood Depth when Flooded (ft),Std. Deviation Flood Depth when Flooded 
CRMS0369,21.0,0.1724053012522539,0.5869999999996065,0.0,0.3175879080814366
CRMS0371,22.0,0.2820020073344969,0.7100000000000224,0.0,0.3083804676243272
CRMS0374,23.0,0.2670541353727126,0.8099999999985653,0.0,0.3893303038912964
CRMS0376,24.0,0.493240011344967,1.219000000001073,0.0,0.5123345314350496
CRMS0377,25.0,0.2026744470035416,0.6799999999984179,0.0,0.3461287288156928
CRMS0381,26.0,0.0327986686320164,0.0879999999998914,0.0,0.0953472612576085
CRMS0382,27.0,0.1245121389045317,0.2799999999996439,0.0,0.1551332549493901
CRMS0383,28.0,0.3581081512975624,0.970000000000987,0.0,0.4347166444496308
CRMS0385,29.0,0.1499061987031281,0.3529999999999205,0.0,0.1541707425107703
CRMS0386,30.0,0.2483535334142285,0.7100000000013256,0.0,0.3675796542297374
CRMS0387,31.0,0.1947100171969082,0.6499999999996763,0.0,0.3424650770196396
CRMS0390,32.0,0.2771294277724304,0.75,0.0,0.3423779275254148
CRMS0392,33.0,0.3957397788831109,0.940000000001556,0.0,0.4006439479104799
CRMS0394,0.0,0.2565663306271779,0.6659999999988748,0.0,0.2942833158386752
CRMS0395,1.0,0.2866430734404967,0.7050000000013278,0.0,0.3093008855503433
CRMS0396,2.0,0.147224962999511,0.4689999999993595,0.0,0.2406254069937285
CRMS0397,3.0,0.2932654219470482,0.8139999999987669,0.0,0.3883987951988749
CRMS0398,4.0,0.1292815096465272,0.4499999999988451,0.0,0.2485172131531096
CRMS0399,5.0,0.1243135136334388,0.4602000000009613,0.0,0.2565974037343571
CRMS0400,6.0,0.3393525541904478,0.8089999999977747,0.0,0.3582039796652509
CRMS0403,7.0,0.8505965076640879,1.9839999999972064,0.0,0.7868556453470842
CRMS0409,8.0,0.2470752211896995,0.6399999999995213,0.0,0.2837868831218466
CRMS0411,9.0,0.1806856615034921,0.5500000000004946,0.0,0.2592876640459705
CRMS0414,10.0,1.3400789488152431,2.1229999999984943,0.7369999999985559,0.5472740590925016
CRMS0416,11.0,0.2301793514179878,0.6530000000006047,0.0,0.3277381379380989
CRMS0421,12.0,0.4348710581693091,1.092999999996746,0.0,0.4717670744121396
CRMS0434,13.0,0.1443138144896153,0.4944000000014137,0.0,0.2910489897105386
CRMS0461,14.0,0.744712526514254,1.9260000000049504,0.0,0.8087101387532907
CRMS0463,15.0,0.1460082218624939,0.380000000000092,0.0,0.2587324918505064
CRMS0464,16.0,0.1633477815738966,0.3879999999996759,0.0,0.2061585519056421
